2014-12-01,300,0.05655554
2014-12-02,377,15.0136
2014-12-03,377.9,0.54660842
2014-12-04,377.1,0.01
2014-12-06,378,0.015
2014-12-08,375.01,0.23500000000000001
2014-12-10,398,0.02
2014-12-12,379,3.1499999999999995
2014-12-18,345,2
2015-01-08,360,10.349999999999826
2015-01-13,260,1
2015-01-14,200,11.304637779999803
2015-01-15,191.99,2.9773207600000005
2015-01-16,210.98,4.689999999999945
2015-01-17,210,0.11199999999999999
2015-01-19,210,0.41000000000000003
2015-01-20,215,0.04
2015-01-21,219,0.13770722000000002
2015-01-22,245.5,4.359999999999971
2015-01-23,230,0.18000100000000005
2015-01-24,215,1.74
2015-01-25,248.02,478.75554094
2015-01-26,262.78,5180.318794040011
2015-01-27,274.73,1630.2117655299871
2015-01-28,263.96,5339.784137060139
2015-01-29,235.89,6640.491647900122
2015-01-30,235,5774.295652190104
2015-01-31,229,5595.577390790177
2015-02-01,218.67,7233.4747219507135
2015-02-02,228.39,7451.634216180972
2015-02-03,237.01,8321.94298864069
2015-02-04,228.77,9147.69927442082
2015-02-05,227.11,7405.30152893045
2015-02-06,216.84,5693.965066640364
2015-02-07,223.2,4099.998907730165
2015-02-08,229.16,4294.59519081008
2015-02-09,224.01,6454.548267180272
2015-02-10,221.13,4765.65027017014
2015-02-11,221.07,7801.913558520417
2015-02-12,219.96,7045.834583610126
2015-02-13,223.2,13721.391234400535
2015-02-14,236.92,13896.585781990529
2015-02-15,256.66,15140.868053680506
2015-02-16,235.54,9529.682823180281
2015-02-17,234.4,15076.010208890435
2015-02-18,244.9,11630.702851080443
2015-02-19,237.49,8487.063473610715
2015-02-20,241.11,9934.868270120605
2015-02-21,245.34,5652.704318860256
2015-02-22,245.72,7490.071093860308
2015-02-23,236.83,9038.473482490283
2015-02-24,239.49,7946.286860470275
2015-02-25,239.87,7019.944465140282
2015-02-26,238.21,7664.320877770085
2015-02-27,237.21,18655.276336270632
2015-02-28,254.42,6700.452880900158
2015-03-01,255.73,9474.292513330101
2015-03-02,260.29,16442.015693099
2015-03-03,276.79,16988.504621810265
2015-03-04,283.09,13400.939138180203
2015-03-05,273.38,10576.29422391045
2015-03-06,276.54,9071.09935446026
2015-03-07,273.22,5600.736911690316
2015-03-08,276.86,4632.964478960136
2015-03-09,275.47,12306.368875249445
2015-03-10,290.2,14712.417512829705
2015-03-11,293.45,8838.507497910487
2015-03-12,296.98,8670.602311050145
2015-03-13,295.87,10947.840561860568
2015-03-14,284.37,6548.474714950413
2015-03-15,283.77,3940.295554360323
2015-03-16,287.99,8048.55600421014
2015-03-17,292.36,7112.146959540192
2015-03-18,286.57,16739.530893799543
2015-03-19,258.62,14928.057792790081
2015-03-20,263.06,6796.448842430468
2015-03-21,263.31,5427.0699240902595
2015-03-22,261.57,2829.1612134800316
2014-12-01,300,0.05655554
2014-12-02,377,15.0136
2014-12-03,377.9,0.54660842
2014-12-04,377.1,0.01
2014-12-06,378,0.015
2014-12-08,375.01,0.23500000000000001
2014-12-10,398,0.02
2014-12-12,379,3.1499999999999995
2014-12-18,345,2
2015-01-08,360,10.349999999999826
2015-01-13,260,1
2015-01-14,200,11.304637779999803
2015-01-15,191.99,2.9773207600000005
2015-01-16,210.98,4.689999999999945
2015-01-17,210,0.11199999999999999
2015-01-19,210,0.41000000000000003
2015-01-20,215,0.04
2015-01-21,219,0.13770722000000002
2015-01-22,245.5,4.359999999999971
2015-01-23,230,0.18000100000000005
2015-01-24,215,1.74
2015-01-25,248.02,478.75554094
2015-01-26,262.78,5180.318794040011
2015-01-27,274.73,1630.2117655299871
2015-01-28,263.96,5339.784137060139
2015-01-29,235.89,6640.491647900122
2015-01-30,235,5774.295652190104
2015-01-31,229,5595.577390790177
2015-02-01,218.67,7233.4747219507135
2015-02-02,228.39,7451.634216180972
2015-02-03,237.01,8321.94298864069
2015-02-04,228.77,9147.69927442082
2015-02-05,227.11,7405.30152893045
2015-02-06,216.84,5693.965066640364
2015-02-07,223.2,4099.998907730165
2015-02-08,229.16,4294.59519081008
2015-02-09,224.01,6454.548267180272
2015-02-10,221.13,4765.65027017014
2015-02-11,221.07,7801.913558520417
2015-02-12,219.96,7045.834583610126
2015-02-13,223.2,13721.391234400535
2015-02-14,236.92,13896.585781990529
2015-02-15,256.66,15140.868053680506
2015-02-16,235.54,9529.682823180281
2015-02-17,234.4,15076.010208890435
2015-02-18,244.9,11630.702851080443
2015-02-19,237.49,8487.063473610715
2015-02-20,241.11,9934.868270120605
2015-02-21,245.34,5652.704318860256
2015-02-22,245.72,7490.071093860308
2015-02-23,236.83,9038.473482490283
2015-02-24,239.49,7946.286860470275
2015-02-25,239.87,7019.944465140282
2015-02-26,238.21,7664.320877770085
2015-02-27,237.21,18655.276336270632
2015-02-28,254.42,6700.452880900158
2015-03-01,255.73,9474.292513330101
2015-03-02,260.29,16442.015693099
2015-03-03,276.79,16988.504621810265
2015-03-04,283.09,13400.939138180203
2015-03-05,273.38,10576.29422391045
2015-03-06,276.54,9071.09935446026
2015-03-07,273.22,5600.736911690316
2015-03-08,276.86,4632.964478960136
2015-03-09,275.47,12306.368875249445
2015-03-10,290.2,14712.417512829705
2015-03-11,293.45,8838.507497910487
2015-03-12,296.98,8670.602311050145
2015-03-13,295.87,10947.840561860568
2015-03-14,284.37,6548.474714950413
2015-03-15,283.77,3940.295554360323
2015-03-16,287.99,8048.55600421014
2015-03-17,292.36,7112.146959540192
2015-03-18,286.57,16739.530893799543
2015-03-19,258.62,14928.057792790081
2015-03-20,263.06,6796.448842430468
2015-03-21,263.31,5427.0699240902595
2015-03-22,261.57,5204.202220710262
2015-03-23,269.25,1049.9150781799972
